id,dataset,text,oracle
2380,lin_0,And then for FILE_NAME we have.,0
2010,lin_0,I find this error when I am trying to open this file.,-1
5692,lin_0,Let me know if you need more details.,0
6059,lin_0,"With CODE_FRAGMENT, this example took NUMBER seconds with the option on and NUMBER second with it off in Java 6 update 29.",0
4490,lin_0,I am writing a cloud-sync application in Java with.,0
506,lin_0,It should be solved FILE_NAME 8....,0
5720,lin_0,May be it's worth to limit the 1st level of caching by just 50 reports and introduce a 2nd level based on WeakHashMap?,0
3811,lin_0,What do I need to change about the way I package my app so it can just use the latest Java?,0
2938,lin_0,First of all I do not think you need all these.,-1
5640,lin_0,I Add Junit >> > right click on project - > properties - > Java Build Path - > libraries - > add library.,0
1283,lin_0,E.g. I get an array of CODE_FRAGMENT objects.,0
3106,lin_0,"This exception is not because of absence of SunPkcs11 because i see the SunPkcs11 that i added, in the providers list.",0
5559,lin_0,"After the request is done, all you have to do is get and iterate the Perfomance logs and find ``API_NAME ''for the requested url.",0
239,lin_0,I'm using Apache ftpserver ( Java ).,0
4470,lin_0,i'm trying to convert my date which is in string form to date.,0
2190,lin_0,It depends: which type of equality do you want?,0
6077,lin_0,The option reduces heap usage.,1
3919,lin_0,"In your code, you need to replace.",0
1018,lin_0,You can try this one: WEB_ADDRESS.,0
3562,lin_0,This might prove to be useful unbescape.,1
1027,lin_0,I would avoid to generate the full XML String ( see @AdriaanKoster 'response ).,-1
5867,lin_0,Working Configuration.,1
5342,lin_0,There are one caveat with the use of callbacks in JNA.,0
5464,lin_0,"As long as the customer does not enter the saloon, it holds NotSleeping.",0
1230,lin_0,"AS I know, it's impossible in the case.",-1
4275,lin_0,This is your problem.,-1
217,lin_0,I am developing some small stuff for google app engine FILE_NAME.,0
554,lin_0,this is one of the mechanism provides by Struts2 to handle Cross-Site Request Forgery ( CSRF ).,0
1223,lin_0,That can hide an error and keep you searching for dogs a whole week while the problem was really a cat ( ch ).,-1
2272,lin_0,"Quite contrary, on Windows.",0
2536,lin_0,Some other pointer.,0
4395,lin_0,How do I achieve this?,0
2081,lin_0,you have to use CODE_FRAGMENT.,0
5339,lin_0,and the callback expected takes a parameter of a record.,0
4126,lin_0,And running your CODE_FRAGMENT will succeed.,1
6225,lin_0,It accepts a regular CODE_FRAGMENT object in its constructor and simply delegates all methods other than CODE_FRAGMENT to the wrapped object.,0
6299,lin_0,First declare all variables.,0
3463,lin_0,This was configured in an API_NAME as follows.,0
5801,lin_0,If you can change the code it helps to use CODE_FRAGMENT ( with no host parameter or with a connected socket ).,0
2691,lin_0,Are there examples you have that could shed light on the above MapHelper's usefulness?,0
3099,lin_0,"I did not remove sunpkcs # 11 provider after each API_NAME (... ) call,.",0
2204,lin_0,I found work around from this post WEB_ADDRESS.,0
5073,lin_0,This is not particularly unusual... or wrong.,1
883,lin_0,What you'll want to do is get the CODE_FRAGMENT of FILE_NAME using the CODE_FRAGMENT method then use the CODE_FRAGMENT method of the CODE_FRAGMENT to retrieve all of the ``getter ''methods of the bean.,0
4194,lin_0,"To do it, as said in documentation, declare you bean as proxified.",0
105,lin_0,and hear is the code to connect.,0
6004,lin_0,"Each date for which you want to create an appointment can be represented as a CODE_FRAGMENT, FILE_NAME for a date-only value without a time-of-day and without a time zone.",0
849,lin_0,You may use the Eclipse's AST parser also in combination.,0
1866,lin_0,And here is the FILE_NAME.,0
4079,lin_0,Java JTextPane JScrollPane Display Issue.,-1
1297,lin_0,API_NAME: API_NAME ( ) FILE_NAME / lang/String;.,0
5101,lin_0,"Since this is correct, why byte code noting down the return type of the called method, and raising error when the library is updated with a return type for the method.",-1
1442,lin_0,"If you want content, use the CODE_FRAGMENT element ( which isn't a void element ).",0
1780,lin_0,use CODE_FRAGMENT.,0
663,lin_0,Another option may be the Factory pattern.,0
2880,lin_0,drl file for creating new rules and modifying rules.,0
5016,lin_0,Hmmm.,0
2074,lin_0,but I get a CODE_FRAGMENT.,0
5944,lin_0,tells JSF that the CODE_FRAGMENT should return an instance of the given FILE_NAME whenever a renderer of the given component family and renderer type is been requested.,0
838,lin_0,Java library for reading multipart/form-data http body containing multiple files.,0
4149,lin_0,"I haven't used EclipseLink myself, so all I can do is guess, but what surprises me is that FILE_NAME doesn't have a setter for the id property.",-1
2926,lin_0,"So you can easy reduce count of objects by factor two ( one byte [ ] instead of pair String + char [ ] ), and array length of UTF-8 symbols usually less than length of UTF-16 chars.",0
4636,lin_0,This is part of the code which was working fine and now it's not.,-1
2185,lin_0,Well... no.,0
4653,lin_0,And I've added these settings to the WebMvc FILE_NAME.,0
6008,lin_0,You apparently intend these appointments for the time zone of central North America.,0
3616,lin_0,Hi I have a sample log file here.,0
1422,lin_0,"I did some modification and in the end it was working, but it does not support odata functionallity ( queries like $filter, $oderby,... ) and for each request I need a new instance.",0
1410,lin_0,Good luck!,0
1789,lin_0,I want to list all album list from my picasa album.,0
406,lin_0,I added CODE_FRAGMENT to my Java Build Path.,0
6082,lin_0,Edit 3/20/2013: An average server heap dump uses 25% of the space on Strings.,0
5168,lin_0,You probably mean.,0
1492,lin_0,Any pointer why this keeps happening.,0
5374,lin_0,Enjoy and thank you for your time!,0
6038,lin_0,Think of an CODE_FRAGMENT as a CODE_FRAGMENT stripped of it assigned time zone.,0
4596,lin_0,The data structure you are saving your data is not very optimal for the days with daylight saving time.,-1
1402,lin_0,"John Spurlock, the create of OData4j, personally responds to almost all of the posts there.",1
6124,lin_0,Any Idea how to solve such problem when using CGLIB proxies?,0
4761,lin_0,The output that I get is -.,0
2578,lin_0,Someone on StackOverflow had similar problem.,-1
3599,lin_0,API_NAME updates this property when you call `API_NAME 'method.,0
4930,lin_0,You may want to check CODE_FRAGMENT.,0
3632,lin_0,You need to encapsulate the regex pattern in quotes.,0
