uid,lexicon,pos,label,lemma,strength,source,isbase,exclude
foul=>foul=>r,foul,r,n,foul,s,mpqa,t,
mirage=>mirage=>a,mirage,a,n,mirage,s,mpqa,t,
aggression=>aggression=>a,aggression,a,n,aggression,s,mpqa,t,
eligible=>eligible=>a,eligible,a,p,eligible,w,mpqa,t,
scold=>scold=>v,scold,v,n,scold,s,mpqa,t,
lorn=>lorn=>a,lorn,a,n,lorn,s,mpqa,t,
sinking=>sinking=>a,sinking,a,n,sinking,w,mpqa,t,
slothful=>slothful=>a,slothful,a,n,slothful,s,mpqa,t,
co-operation=>co-operation=>a,co-operation,a,p,co-operation,w,mpqa,t,
co-operation=>co-operation=>n,co-operation,n,p,co-operation,w,mpqa,t,
befoul=>befoul=>v,befoul,v,n,befoul,s,mpqa,t,
tantalizing=>tantalizing=>o,tantalizing,o,p,tantalizing,s,mpqa,t,
screaming=>screaming=>a,screaming,a,o,screaming,s,mpqa,t,
brutish=>brutish=>a,brutish,a,n,brutish,s,mpqa,t,
stereotypical=>stereotypical=>o,stereotypical,o,n,stereotypical,s,mpqa,t,
straight=>straight=>a,straight,a,p,straight,w,mpqa,t,
non-violent=>non-violent=>a,non-violent,a,p,non-violent,w,mpqa,t,
rusty=>rusty=>a,rusty,a,n,rusty,s,mpqa,t,
valiant=>valiant=>a,valiant,a,p,valiant,s,mpqa,t,
loathing=>loathing=>o,loathing,o,n,loathing,s,mpqa,t,
ruthless=>ruthless=>a,ruthless,a,n,ruthless,s,mpqa,t,
decry=>decry=>v,decry,v,n,decry,s,mpqa,t,
resilient=>resilient=>a,resilient,a,p,resilient,w,mpqa,t,
increasing=>increasing=>a,increasing,a,o,increasing,w,mpqa,t,
insinuation=>insinuation=>a,insinuation,a,n,insinuation,s,mpqa,t,
fissures=>fissures=>a,fissures,a,n,fissures,w,mpqa,t,
uplifting=>uplifting=>o,uplifting,o,p,uplifting,s,mpqa,t,
elaborate=>elaborate=>a,elaborate,a,o,elaborate,s,mpqa,t,
controversy=>controversy=>a,controversy,a,n,controversy,w,mpqa,t,
spotty=>spotty=>a,spotty,a,n,spotty,w,mpqa,t,
criticism=>criticism=>a,criticism,a,n,criticism,s,mpqa,t,
golden=>golden=>a,golden,a,p,golden,w,mpqa,t,
divide=>divide=>v,divide,v,n,divide,w,mpqa,t,1
mawkishness=>mawkishness=>o,mawkishness,o,n,mawkishness,s,mpqa,t,
stern=>stern=>a,stern,a,n,stern,s,mpqa,t,
scarier=>scarier=>a,scarier,a,n,scarier,s,mpqa,t,
catchy=>catchy=>a,catchy,a,p,catchy,s,mpqa,t,
best-selling=>best-selling=>a,best-selling,a,p,best-selling,w,mpqa,t,
exhort=>exhort=>v,exhort,v,n,exhort,s,mpqa,t,
glimmering=>glimmering=>o,glimmering,o,p,glimmering,s,mpqa,t,
therefore=>therefore=>o,therefore,o,o,therefore,s,mpqa,t,
relax=>relax=>v,relax,v,p,relax,w,mpqa,t,
mesmerize=>mesmerize=>v,mesmerize,v,p,mesmerize,s,mpqa,t,
hurt=>hurt=>a,hurt,a,n,hurt,w,mpqa,t,
hole=>hole=>n,hole,n,n,hole,w,mpqa,t,
irksome=>irksome=>o,irksome,o,n,irksome,s,mpqa,t,
famed=>famed=>a,famed,a,p,famed,s,mpqa,t,
dragons=>dragons=>a,dragons,a,n,dragons,s,mpqa,t,1
dragons=>dragon=>n,dragons,n,n,dragon,s,mpqa,f,1
malign=>malign=>v,malign,v,n,malign,s,mpqa,t,
foul=>foul=>a,foul,a,n,foul,s,mpqa+liu,t,
originality=>originality=>n,originality,n,p,originality,w,mpqa+liu,t,
superficially=>superficially=>r,superficially,r,n,superficially,s,mpqa+liu,t,
outwit=>outwit=>v,outwit,v,p,outwit,s,mpqa+liu,t,
sputter=>sputter=>v,sputter,v,n,sputter,s,mpqa+liu,t,
immature=>immature=>a,immature,a,n,immature,w,mpqa+liu,t,
sinking=>sinking=>n,sinking,n,n,sinking,w,mpqa+liu,t,
hero=>hero=>n,hero,n,p,hero,s,mpqa+liu+afinn,t,
prize=>prize=>v,prize,v,p,prize,s,mpqa+liu,t,
inevitably=>inevitably=>r,inevitably,r,n,inevitably,s,mpqa+liu,t,1
mirage=>mirage=>n,mirage,n,n,mirage,s,mpqa+liu,t,
elegant=>elegant=>a,elegant,a,p,elegant,s,mpqa+liu,t,
haughtily=>haughtily=>r,haughtily,r,n,haughtily,s,mpqa+liu,t,
succumb=>succumb=>v,succumb,v,n,succumb,s,mpqa+liu,t,
insinuation=>insinuation=>n,insinuation,n,n,insinuation,s,mpqa+liu,t,
