6	But sadly this is not working.	Negative
78	So, everything builds fine, but when we try to deploy the application to GFNUMBER we get the FILE_NAME file not found ''error.	Negative
90	That is what is causing your null pointer exception.	Negative
139	All attempts I've made were, in a shortcut, unsuccessful.	Negative
162	Don't use.	Negative
187	However when I try to run FILE_NAME, it gives ``The system cant find the path specified error ''for the batch file.	Negative
200	Problem: without zooming, the added content doesn't get visible.	Negative
201	in a application you can workaround with scaling the window size, but in an applet I wasn't able to solve that problem.	Negative
256	else your GUI will be Hanged.	Negative
342	I am not sure about Map implementation in HazelCast.	Negative
361	But the above code doesn't work outside the ``FILE_NAME JavaAgent`` FILE_NAME of the main Agent.	Negative
436	Please note there is a bug in FILE_NAME, L996 +997.	Negative
444	I am not sure why I can not get it to work and have been struggling with it for a while.	Negative
448	the problem is the following.	Negative
491	When I run my client, it throws the following exception.	Negative
521	i did come across the same issue with Java API_NAME works in JDKNUMBER.	Negative
526	I am unsure how to return an array that will avoid returning CODE_FRAGMENT as an element of that array.	Negative
4	Perfect would be to have in my CODE_FRAGMENT.	Neutral
5	and then override this with CODE_FRAGMENT so that I could do.	Neutral
9	Define your production environment as default profile in your API_NAME.	Neutral
11	You can setup your API_NAME as filtered resource and have this value filled by maven from maven profile settings - that what we do.	Neutral
15	Now you can use.	Neutral
20	About setting default production profile already posted @andih.	Neutral
25	So I do the following.	Neutral
39	Many thanks.	Neutral
40	Use this construct.	Neutral
44	According to docs.	Neutral
57	the way this projects i associated is.	Neutral
89	In your FILE_NAME, CODE_FRAGMENT has not been set and therefore is CODE_FRAGMENT.	Neutral
98	I am trying to use JNDI for the JDBC connectivity, but it returns NULL DataSource.	Neutral
105	and hear is the code to connect.	Neutral
112	Thanks for any help with this.	Neutral
119	Also, what's the difference between wait() and await() from CountDownLatch?	Neutral
121	EDIT: I guess I need to rephrase my queries.	Neutral
122	Await( ) as per the docs says.	Neutral
131	With a CODE_FRAGMENT you can easily wait for all of the tasks to be completed.	Neutral
134	Looking up the documentation is step one of any question.	Neutral
136	CODE_FRAGMENT is an actual function of CODE_FRAGMENT whereas CODE_FRAGMENT is inherited from CODE_FRAGMENT.	Neutral
140	What I am trying to do.	Neutral
145	Well I thought I am authorized, once I used my API_KEY to authorize my access to GoogleBook.	Neutral
146	I did this like this.	Neutral
153	Thanks.	Neutral
156	You should declare CODE_FRAGMENT as CODE_FRAGMENT.	Neutral
166	I can draw the circle with a transparent background like this.	Neutral
179	I am executing a batch file FILE_NAME program.	Neutral
181	I kept the batch file as a resource in the source directory.	Neutral
183	resources/API _ NAME creation option: package required library into FILE_NAME ).	Neutral
191	While Java can read JARs and treat them just as the normal file system, most other applications can not.	Neutral
196	Inside FILE_NAME that should trigger the batch file put the following.	Neutral
204	actually, it looks smth like this.	Neutral
209	So try.	Neutral
217	I am developing some small stuff for google app engine FILE_NAME.	Neutral
223	That means you need to use the Google FILE_NAME files.	Neutral
227	because this API depends on which server ( tomcat, jetty ) you are using.	Neutral
228	so it comes with the server.	Neutral
232	Below are the features of Intellij IDEA ultimate edition.	Neutral
238	Hope this helps.	Neutral
239	I'm using Apache ftpserver ( Java ).	Neutral
240	I need to have a nofication in my program when a file is uploaded through the ftp.	Neutral
242	Any solutions out there?	Neutral
244	I am assuming that, you have a desktop program, which is running on the ftpserver itself.	Neutral
248	Lets see....	Neutral
259	You can get all notifications using ftplet.	Neutral
