id,dataset,text,oracle
10001,DatasetSenti4SDSO_test_0,"Vineet, what you are trying to do is a terrible idea! If you ever find yourself having to engineer something as fundamental as that, take a step back and work out what else does it! I don't really believe in the whole spoon fed SO thing, but what mtwebster says is on the right track!",-1
10002,DatasetSenti4SDSO_test_0,"'Course I do, corrected.",1
10003,DatasetSenti4SDSO_test_0,"Excellent, happy to help! If you don't mind, can you accept my answer?",1
10004,DatasetSenti4SDSO_test_0,@DrabJay: excellent suggestion! Code changed. :-),1
10005,DatasetSenti4SDSO_test_0,Any decent browser should protect against malicious code in images so I don't think you'll have to worry. If you're truly concerned you can use a combination of getimagesize() and see about using a ClamAV extension/program to scan files for malicious code. Nothing is perfect though.,0
10006,DatasetSenti4SDSO_test_0,"@talnicolas I'm using it a few dozen times in my class. It's heavy to write, not easy to read and very painful to debug. I'm sorry, I didn't think the question was that subjective, maybe someone should move it to PROGRAMMERS!?",-1
10007,DatasetSenti4SDSO_test_0,I didn't select an answer because even though two of them helped neither of them is complete.,0
10008,DatasetSenti4SDSO_test_0,I swear - I don't put pseudo code I get told off for having bad variable names and things that don't match... I put pseudocode and I still get grief!,-1
10009,DatasetSenti4SDSO_test_0,I have attached below,0
10010,DatasetSenti4SDSO_test_0,This is for Tomcat 5.5,0
10011,DatasetSenti4SDSO_test_0,"Paraphrasing Cypher, ""StateOf.Confusion is bliss"", so... Do all `MapCollection Items` have the same state? If so then have a single `ItemStatus` that every `Item` references. [`Application.Properties`](http://msdn.microsoft.com/en-us/library/system.windows.application.properties%28v=vs.110%29.aspx) may be a way to globally communicate visualness.",0
10012,DatasetSenti4SDSO_test_0,Excellent! Thank you for your perseverence :),1
10013,DatasetSenti4SDSO_test_0,"When I refactor the following line: using Resharper's ""Use Object Initializer"", I get the following: I really hate this type of formatting because with longer object names and variables it just gets out of control. How can I get Resharper to do the following?",-1
10014,DatasetSenti4SDSO_test_0,"Wow, I've just had a look at the Corona SDK. It looks excellent! A really intuitive way to build apps. Thanks for the tip!",1
10015,DatasetSenti4SDSO_test_0,A few but they all seem proprietary.,0
10016,DatasetSenti4SDSO_test_0,"that's what I thought, that's why I'm surprised",0
10017,DatasetSenti4SDSO_test_0,"To push it to Heroku, you'll have to add it to your repo. Why don't you want to commit it? It's recommended to commit Gemfile.lock in your repo (unless you're developing a gem): When developing an app, check in your Gemfile.lock, since you will use the bundler tool across all machines, and the precision enforced by bundler is extremely desirable for applications.",-1
10018,DatasetSenti4SDSO_test_0,I want them to resize based on the length of the data they're showing.,0
10019,DatasetSenti4SDSO_test_0,@ThorbjÃ¸rn Ravn Andersen that's really great!,1
10020,DatasetSenti4SDSO_test_0,"I'm not sure if this is a case here but if you are really worried about the gc in this case and you'd like to better control behavior of your derived maps and thus their influence on the performance of the gc in my opinion you should take a look at the usage of different kind of references (strong, weak, soft, phantom) in java.Also remember that pre-optimization is a root of all evil especially in programming.",0
10021,DatasetSenti4SDSO_test_0,"I don't see how this is possible, but I really, really hate to run my query an extra time just to get the record count so I can build a pager. When I say a ""pager"" I simply mean the common gizmo with a link for each 10 records for example.",-1
10022,DatasetSenti4SDSO_test_0,"Is it possible (or desirable?!) to set up to behave more like ? For example, instead of writing why can't I just write Similarly, instead of why not just",-1
10023,DatasetSenti4SDSO_test_0,Have added an answer,0
10024,DatasetSenti4SDSO_test_0,"Yes, but it's tricky, since datetime parsing in SQL is a pain in the neck.",-1
10025,DatasetSenti4SDSO_test_0,"@njahnke: to me, it does not matter what they advise if they do not provide alternatives. I have been a happy user of qthttp thus far without worries, but yes, it is just a quick workaround as written.",-1
10026,DatasetSenti4SDSO_test_0,"@MaximilianBöther I'm sorry to hear that... Maybe you can get in touch with the developers of BaronReplays and ask them to help you out? If not, I'm afraid I cannot help you much more! Regards, Rodit",-1
10027,DatasetSenti4SDSO_test_0,This question would now be more appropriate on SuperUser.,0
